id;name;description;sequence_no;image_path;mobile_image_path;alt_image_1;alt_image_2;alt_image_3
1;secured line Producer niches;Handcrafted Steel Keyboard Money Market Account;46192;Squares Cheese;Web Optimization;groupware yellow Specialist;niches Alaska;Buckinghamshire Rustic
2;Personal Loan Account Extension Ohio;access Cloned;44535;quantifying SMS;Dalasi Money Market Account SCSI;Outdoors Station Savings Account;Tuna alarm Shoes;Steel
3;e-tailers payment calculating;heuristic Computers Practical;61023;cultivate teal;Avon;invoice Mississippi;monitoring Rand Loti orchid;Plastic Incredible Frozen Chips
4;Bacon;tan incentivize;83579;Credit Card Account primary;Chicken;port Licensed;proactive 24 hour;PNG Road
5;online Vista haptic;matrix scale;83353;Regional Internal Metrics;Identity;cross-media Bike;deposit;Up-sized
6;Re-contextualized;Cambridgeshire;69270;sexy;recontextualize Fantastic Granite Pizza;focus group quantify;calculate cross-platform;Soft Avon
7;Cambridgeshire programming;Ergonomic JSON Rubber;39959;Sports Strategist;Georgia;cultivate enable;benchmark Soft;PNG best-of-breed XML
8;Refined Cotton Proactive;envisioneer bandwidth;3566;deliverables Car repurpose;Internal e-enable;clicks-and-mortar optimizing;sensor;Rustic Delaware Engineer
9;Buckinghamshire ADP Credit Card Account;hack Union Gloves;83240;panel;database payment pixel;Agent;Games green;Director Gorgeous initiatives
10;national Bedfordshire;Secured Tools;37317;National cutting-edge;one-to-one;Forward multi-byte Steel;regional;Persevering
