id;name;description;long_description;attribute;sequence_no;image_url;alt_image_url;info
1;firmware;Liaison compress proactive;front-end bypass Strategist;SMS Usability cross-platf;15178;Clothing Savings Account Monitored;Chair;../fake-data/blob/hipster.txt
2;Avon;cutting-edge;tan Intelligent Granite Fish;Bacon;51629;Toys Balboa US Dollar;Fresh;../fake-data/blob/hipster.txt
3;deposit Computers multi-byte;Berkshire;Licensed Plastic Car Sports driver;quantify;87754;Universal Iraqi Dinar;Clothing New Jersey;../fake-data/blob/hipster.txt
4;payment SSL Health;PNG cross-platform Grocery;Grocery Faroe Islands Marshall Islands;Corporate Ohio;10167;Guernsey;ability Licensed explicit;../fake-data/blob/hipster.txt
5;Awesome calculating technologies;olive Profit-focused;Mauritius Rupee;Mississippi Buckinghamshi;72215;Money Market Account EXE Director;markets infomediaries;../fake-data/blob/hipster.txt
6;radical systematic Sports;Automotive Future;Analyst haptic;innovate indexing Cambrid;87783;invoice Sri Lanka invoice;Technician GB robust;../fake-data/blob/hipster.txt
7;Colorado efficient Assurance;Georgia back-end;Forward JSON Norway;bottom-line;80717;Kiribati Hat;De-engineered Sausages PCI;../fake-data/blob/hipster.txt
8;firewall compress Key;Cambridgeshire Jersey;interface;Electronics;6820;eyeballs Rwanda Minnesota;Auto Loan Account;../fake-data/blob/hipster.txt
9;user-centric;AGP functionalities vortals;Tasty Wooden Bacon multi-byte;Fantastic Granite Sausage;83023;system Tools;Future-proofed port;../fake-data/blob/hipster.txt
10;web services;Universal Identity Auto Loan Account;Haven Ball;Movies B2B Cape Verde;1240;purple Balboa US Dollar;lavender microchip;../fake-data/blob/hipster.txt
