id;invoice_date;due_date;paid_date;invoice_message;reference_number
1;2022-08-07T16:01:53;2022-08-07T17:55:57;2022-08-07T11:13:39;Focused;capability Loop Unbranded Frozen Towels
2;2022-08-08T02:15:31;2022-08-08T02:38:12;2022-08-07T12:05:58;Grove invoice Australia;reboot Rhode Island bypassing
3;2022-08-07T10:25:34;2022-08-08T00:47:19;2022-08-07T15:26:23;Frozen online streamline;quantify
4;2022-08-07T17:43:53;2022-08-07T09:55:29;2022-08-07T20:04:45;Soap Checking Account;Baby
5;2022-08-07T22:57:57;2022-08-08T02:45:30;2022-08-07T14:30:03;Synergized 1080p Engineer;Shirt Division
6;2022-08-08T05:02:22;2022-08-07T14:49:19;2022-08-07T08:18:33;Rubber synergy program;transmitting Buckinghamshire Director
7;2022-08-08T03:49:01;2022-08-07T23:55:20;2022-08-07T15:12:09;Malagasy Ariary Dynamic;iterate
8;2022-08-07T15:37:09;2022-08-08T07:08:06;2022-08-08T04:20:13;Tasty Plastic Mouse attitude-oriented Maine;Function-based RAM action-items
9;2022-08-07T10:07:10;2022-08-08T07:05:24;2022-08-07T23:53:38;Analyst matrix;SDD auxiliary Utah
10;2022-08-07T20:44:45;2022-08-08T00:16:27;2022-08-08T06:25:41;Agent;compressing Iceland deposit
