id;from_date;thru_date;sequence_no;percentage;flat_amount;account_number;bank_name;ifsc_code;branch
1;2022-08-07T19:03:34;2022-08-07T11:47:19;63902;46933;49438;Health;SQL Outdoors;applications;Vietnam Gorgeous program
2;2022-08-07T10:24:02;2022-08-08T09:29:44;3575;36532;4916;deposit Principal reintermediate;Granite Park;Associate Armenian Dram mobile;programming Supervisor
3;2022-08-08T02:49:49;2022-08-07T14:11:08;20457;36051;1097;Future-proofed toolset;Computers;Buckinghamshire;1080p
4;2022-08-08T02:25:18;2022-08-07T22:12:15;10078;38490;77042;Chips;Money Market Account Texas Borders;Senior;Faroe Islands infrastructures
5;2022-08-07T11:09:13;2022-08-08T02:44:20;36291;30684;85945;JBOD generate;Markets driver;Right-sized deposit neural;partnerships Bermudian Dollar (customarily known as Bermuda Dollar)
6;2022-08-08T07:43:14;2022-08-07T23:04:28;38679;12662;38226;online;solutions;Vanuatu Ghana Hat;International Incredible Metal Pizza Tactics
7;2022-08-07T21:10:38;2022-08-08T08:40:28;89066;12023;31125;product Mouse;Incredible Frozen Chips infrastructures;Executive eyeballs;e-commerce
8;2022-08-07T11:38:32;2022-08-08T08:37:48;48430;74514;13940;reboot;enterprise invoice overriding;wireless Intelligent;Cove Legacy CSS
9;2022-08-07T10:31:49;2022-08-08T00:26:09;41395;11250;73647;Configuration;payment vortals Intranet;magenta scale;Books Director Cotton
10;2022-08-07T11:18:22;2022-08-08T08:00:11;79370;95949;44750;archive Savings Account programming;Villages Manager bypass;synergies;Central Iraqi Dinar
