id;name;external_id;order_date;priority;entry_date;is_rush_order;needs_inventory_issuance;remaining_sub_total;grand_total;has_rate_contract;got_quote_from_vendors;vendor_reason;expected_delivery_date;insurance_resp;transport_resp;unloading_resp
1;portal input;synthesize holistic payme;2022-08-07T18:11:40;7;2022-08-08T06:23:02;true;false;55341;26312;true;true;Berkshire target;2022-08-07T13:11:05;Orchestrator virtual;HDD;Lek RSS
2;integrate synergize;Legacy Rial Omani;2022-08-07T20:25:49;6;2022-08-07T12:20:26;false;false;41371;74641;false;false;West Virginia Global;2022-08-08T00:54:27;Small Soft Salad Cotton;olive web-enabled neutral;SDD Minnesota
3;Bedfordshire;Bedfordshire;2022-08-07T20:59:25;1;2022-08-08T01:02:06;true;false;4902;93769;false;false;impactful Legacy Handcrafted Fresh Salad;2022-08-08T07:35:12;RSS Table;Plains;application Uganda Shilling Algeria
4;TCP;Pennsylvania Uruguay;2022-08-07T16:55:14;8;2022-08-08T00:46:37;false;false;46960;27235;true;true;Internal invoice;2022-08-07T09:50:49;Rustic Table Tasty Plastic Fish;visionary initiatives methodical;Refined Granite GB
5;Ergonomic Response Computer;rich;2022-08-07T20:24:38;3;2022-08-07T13:24:11;false;false;2268;69752;true;false;tertiary Mouse;2022-08-07T13:19:16;Strategist;orchid SDR payment;gold Refined Granite Chips quantifying
6;Nebraska Licensed;niches firmware programmi;2022-08-07T17:09:01;2;2022-08-08T00:47:28;false;false;49892;5145;false;true;bandwidth North Carolina virtual;2022-08-07T18:14:14;SCSI;Division;deposit Table purple
7;withdrawal Netherlands;Universal analyzing;2022-08-07T08:42:53;6;2022-08-07T20:36:09;true;false;53976;78721;true;false;dot-com mobile;2022-08-08T01:56:58;pixel encryption input;Berkshire standardization West Virginia;redefine
8;Steel Quality;Enhanced;2022-08-07T08:30:40;1;2022-08-07T15:06:22;true;true;9705;89334;false;true;Metal Nebraska Seychelles Rupee;2022-08-08T01:07:49;Savings Account artificial intelligence;Berkshire virtual Borders;Security Awesome Steel Shoes De-engineered
9;withdrawal Granite expedite;COM Small;2022-08-07T12:07:35;0;2022-08-08T05:14:43;true;true;90369;5553;true;true;payment Hawaii fuchsia;2022-08-07T14:08:53;system ADP;markets Wooden Kentucky;North Korean Won
10;innovate bypassing Global;optical;2022-08-07T18:19:31;5;2022-08-07T16:36:42;true;true;202;83539;false;true;Plaza Cheese;2022-08-07T23:31:10;bypassing;sensor AGP Identity;Arizona withdrawal Checking Account
