id;name;description;facility_code;facility_size;cost_center_code
1;Cambridgeshire;California Tasty Plastic Cheese Rubber;calculating;42747;Gateway Manager
2;Gorgeous Granite Mouse;Quetzal Corner Configurable;Configuration;42815;transmitting tan clear-th
3;Unbranded Grenada models;Steel;Benin;66710;Research
4;white green value-added;Visionary;Brand Tanzania;72550;circuit
5;programming;Ergonomic Granite Computer;Incredible Gloves Pr;31075;Identity generating
6;Fully-configurable;Licensed;Bacon Sports Small;613;Investor Personal Loan Ac
7;Total;payment;olive;91767;Direct
8;Soap;gold invoice;repurpose FTP;32697;cutting-edge program Qual
9;bottom-line;open-source Computers Gorgeous;data-warehouse;14087;Unbranded Metal Keyboard 
10;Refined;Realigned supply-chains;West Virginia e-mark;8463;magenta
